CódigoPedido;CódigoProducto;Cantidad;PrecioUnidad;NúmeroLínea
1;FR-67;10;70;3
1;OR-127;40;4;1
1;OR-141;25;4;2
1;OR-241;15;19;4
1;OR-99;23;14;5
2;FR-4;3;29;6
2;FR-40;7;8;7
2;OR-140;50;4;3
2;OR-141;20;5;2
2;OR-159;12;6;5
2;OR-227;67;64;1
2;OR-247;5;462;4
3;FR-48;120;9;6
3;OR-122;32;5;4
3;OR-123;11;5;5
3;OR-213;30;266;1
3;OR-217;15;65;2
3;OR-218;24;25;3
4;FR-31;12;8;7
4;FR-34;42;8;6
4;FR-40;42;9;8
4;OR-152;3;6;5
4;OR-155;4;6;3
4;OR-156;17;9;4
4;OR-157;38;10;2
4;OR-222;21;59;1
8;FR-106;3;11;1
8;FR-108;1;32;2
8;FR-11;10;100;3
9;AR-001;80;1;3
9;AR-008;450;1;2
9;FR-106;80;8;1
9;FR-69;15;91;2
10;FR-82;5;70;2
10;FR-91;30;75;1
10;OR-234;5;64;3
11;AR-006;180;1;3
11;OR-247;80;8;1
12;AR-009;290;1;1
13;11679;5;14;1
13;21636;12;14;2
13;FR-11;5;100;3
14;FR-100;8;11;2
14;FR-13;13;57;1
15;FR-84;4;13;3
15;OR-101;2;6;2
15;OR-156;6;10;1
15;OR-203;9;10;4
16;30310;12;12;1
16;FR-36;10;9;2
17;11679;5;14;1
17;22225;5;12;3
17;FR-37;5;9;2
17;FR-64;5;22;4
17;OR-136;5;18;5
18;22225;4;12;2
18;FR-22;2;4;1
18;OR-159;10;6;3
19;30310;9;12;5
19;FR-23;6;8;4
19;FR-75;1;32;2
19;FR-84;5;13;1
19;OR-208;20;4;3
20;11679;14;14;1
20;30310;8;12;2
21;21636;5;14;3
21;FR-18;22;4;1
21;FR-53;3;8;2
22;OR-240;1;6;1
23;AR-002;110;1;4
23;FR-107;50;22;3
23;FR-85;4;70;2
23;OR-249;30;5;1
24;22225;3;15;1
24;FR-1;4;7;4
24;FR-23;2;7;2
24;OR-241;10;20;3
25;FR-77;15;69;1
25;FR-9;4;30;3
25;FR-94;10;30;2
26;FR-15;9;25;3
26;OR-188;4;25;1
26;OR-218;14;25;2
27;OR-101;22;6;2
27;OR-102;22;6;3
27;OR-186;40;6;1
28;FR-11;8;99;3
28;OR-213;3;266;2
28;OR-247;1;462;1
29;FR-82;4;70;4
29;FR-9;4;28;1
29;FR-94;20;31;5
29;OR-129;2;111;2
29;OR-160;10;9;3
30;AR-004;10;1;6
30;FR-108;2;32;2
30;FR-12;2;19;3
30;FR-72;4;31;5
30;FR-89;10;45;1
30;OR-120;5;5;4
31;AR-009;25;2;3
31;FR-102;1;20;1
31;FR-4;6;29;2
32;11679;1;14;4
32;21636;4;15;5
32;22225;1;15;3
32;OR-128;29;100;2
32;OR-193;5;20;1
33;FR-17;423;2;4
33;FR-29;120;8;3
33;OR-214;212;10;2
33;OR-247;150;462;1
34;FR-3;56;7;4
34;FR-7;12;29;3
34;OR-172;20;18;1
34;OR-174;24;18;2
35;21636;12;14;4
35;FR-47;55;8;3
35;OR-165;3;10;2
35;OR-181;36;10;1
35;OR-225;72;10;5
36;30310;4;12;2
36;FR-1;2;7;3
36;OR-147;6;7;4
36;OR-203;1;12;5
36;OR-99;15;13;1
37;FR-105;4;70;1
37;FR-57;203;8;2
37;OR-176;38;10;3
38;11679;5;14;1
38;21636;2;14;2
39;22225;3;12;1
39;30310;6;12;2
40;AR-001;4;1;1
40;AR-002;8;1;2
41;AR-003;5;1;1
41;AR-004;5;1;2
42;AR-005;3;1;1
42;AR-006;1;1;2
43;AR-007;9;1;1
44;AR-008;5;1;1
45;AR-009;6;1;1
45;AR-010;4;1;2
46;FR-1;4;7;1
46;FR-10;8;7;2
47;FR-100;9;11;1
47;FR-101;5;13;2
48;FR-102;1;18;1
48;FR-103;1;25;2
48;OR-234;50;64;1
48;OR-236;45;49;2
48;OR-237;50;19;3
50;OR-225;12;10;1
50;OR-226;15;38;2
50;OR-227;44;64;3
51;OR-209;50;10;1
51;OR-210;80;39;2
51;OR-211;70;59;3
53;FR-2;1;7;1
53;FR-85;1;70;3
53;FR-86;2;11;2
