CódigoPedido;FechaPedido;FechaEsperada;FechaEntrega;Estado;Comentarios;CódigoCliente
1;2006-01-17 00:00:00;2006-01-19 00:00:00;2006-01-19 00:00:00;Entregado;Pagado a plazos;5
2;2007-10-23 00:00:00;2007-10-28 00:00:00;2007-10-26 00:00:00;Entregado;La entrega llego antes de lo esperado;5
3;2008-06-20 00:00:00;2008-06-25 00:00:00;null;Rechazado;Limite de credito superado;5
4;2009-01-20 00:00:00;2009-01-26 00:00:00;null;Pendiente;null;5
8;2008-11-09 00:00:00;2008-11-14 00:00:00;2008-11-14 00:00:00;Entregado;El cliente paga la mitad con tarjeta y la otra mitad con efectivo, se le realizan dos facturas;1
9;2008-12-22 00:00:00;2008-12-27 00:00:00;2008-12-28 00:00:00;Entregado;El cliente comprueba la integridad del paquete, todo correcto;1
10;2009-01-15 00:00:00;2009-01-20 00:00:00;null;Pendiente;El cliente llama para confirmar la fecha - Esperando al proveedor;3
11;2009-01-20 00:00:00;2009-01-27 00:00:00;null;Pendiente;El cliente requiere que el pedido se le entregue de 16:00h a 22:00h;1
12;2009-01-22 00:00:00;2009-01-27 00:00:00;null;Pendiente;El cliente requiere que el pedido se le entregue de 9:00h a 13:00h;1
13;2009-01-12 00:00:00;2009-01-14 00:00:00;2009-01-15 00:00:00;entregado;null;7
14;2009-01-02 00:00:00;2009-01-02 00:00:00;null;rechazado;mal pago;7
15;2009-01-09 00:00:00;2009-01-12 00:00:00;2009-01-11 00:00:00;entregado;null;7
16;2009-01-06 00:00:00;2009-01-07 00:00:00;2009-01-15 00:00:00;entregado;null;7
17;2009-01-08 00:00:00;2009-01-09 00:00:00;2009-01-11 00:00:00;entregado;mal estado;7
18;2009-01-05 00:00:00;2009-01-06 00:00:00;2009-01-07 00:00:00;entregado;null;9
19;2009-01-18 00:00:00;2009-02-12 00:00:00;null;pendiente;entregar en murcia;9
20;2009-01-20 00:00:00;2009-02-15 00:00:00;null;pendiente;null;9
21;2009-01-09 00:00:00;2009-01-09 00:00:00;2009-01-09 00:00:00;rechazado;mal pago;9
22;2009-01-11 00:00:00;2009-01-11 00:00:00;2009-01-13 00:00:00;entregado;null;9
23;2008-12-30 00:00:00;2009-01-10 00:00:00;null;Rechazado;El pedido fue anulado por el cliente;5
24;2008-07-14 00:00:00;2008-07-31 00:00:00;2008-07-25 00:00:00;Entregado;null;14
25;2009-02-02 00:00:00;2009-02-08 00:00:00;null;Rechazado;El cliente carece de saldo en la cuenta asociada;1
26;2009-02-06 00:00:00;2009-02-12 00:00:00;null;Rechazado;El cliente anula la operacion para adquirir mas productos;3
27;2009-02-07 00:00:00;2009-02-13 00:00:00;null;Entregado;El pedido aparece como entregado pero no sabemos en que fecha;3
28;2009-02-10 00:00:00;2009-02-17 00:00:00;2009-02-20 00:00:00;Entregado;El cliente se queja bastante de la espera asociada al producto;3
